2018-03-24 01:16:06,075 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-24 01:16:11,628 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hansung:LBSserver:0.0.1-SNAPSHOT @ /Users/gim-yejin/Desktop/project/LBSserver/LBSserver/pom.xml.
2018-03-24 01:16:13,587 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-24 01:16:13,592 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/gim-yejin/Desktop/project/LBSserver/LBSserver/src/main/resources
2018-03-24 01:16:13,600 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-24 01:16:13,604 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/gim-yejin/Desktop/project/LBSserver/LBSserver/src/test/resources
2018-03-24 01:16:16,507 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hansung:LBSserver:0.0.1-SNAPSHOT @ /Users/gim-yejin/Desktop/project/LBSserver/LBSserver/pom.xml.
2018-03-24 01:16:19,807 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-24 01:16:19,843 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/gim-yejin/Desktop/project/LBSserver/LBSserver/src/main/resources
2018-03-24 01:16:19,847 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-24 01:16:19,848 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/gim-yejin/Desktop/project/LBSserver/LBSserver/src/test/resources
